coll_uniq_id,Collection Unique ID,Project Unique ID,Suborder,Family,Genus,Species,Species name,Sex,Wing Side,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (°),Tip angle HW (°),Scale calib factor (px/mm),Country,State,County,North America,Mexico,South America,Central America,Upload Date,Bisque Unique ID,WRK-WS ID,Collection,Scan Device,User,Notes,Filename,Bisque Image Link
36572,36572,UA-001089,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,F,right,373.376,491.105,42.63,42.355,42.884,43.032,11.028,14.012,11.642,15.431,0.556762093,0.289719626,0.0124167,-0.12177229,0.592727273,0.640603567,117.457148,109.2737555,47.244,United States,New Hampshire,Grafton,TRUE,FALSE,FALSE,FALSE,12/15/2017 23:05:33,00-iKKoQFyxEvYQWoXUJLc3sf,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-001089.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-iKKoQFyxEvYQWoXUJLc3sf
40718,40718,UA-000933,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,F,right,427.353,545.907,46.524,46.355,46.927,47.075,11.451,14.859,12.404,15.812,0.51105097,0.271582734,0.008964258,-0.105335445,0.581911263,0.631860776,113.8871912,105.2618486,47.244,Canada,Ontario,,TRUE,FALSE,FALSE,FALSE,12/12/2017 22:59:12,00-SAjAroe9dZLd4gbXTD8CHn,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000933.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-SAjAroe9dZLd4gbXTD8CHn
39652,39652,UA-000934,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,F,right,356.478,493.993,43.18,43.201,43.265,44.133,10.88,14.245,11.43,15.494,0.615949119,0.305995204,0.066307585,-0.077950452,0.6,0.658469945,120.9625361,109.6938897,47.244,Canada,New Brunswick,,TRUE,FALSE,FALSE,FALSE,12/12/2017 22:59:01,00-oZNgqu3RdxqD9QaW5cokpm,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000934.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-oZNgqu3RdxqD9QaW5cokpm
RU-N:WL:OdoD: 2017 00208,RU-N:WL:OdoD: 2017 00208,RUN-000415,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,F,right,360.092,471.772,44.81,42.99,45.593,44.556,10.16,13.483,10.816,15.177,0.622098422,0.302612827,0.055617995,-0.054726313,0.56555773,0.59972106,119.7030302,112.4284164,47.244,,,,TRUE,FALSE,FALSE,FALSE,9/22/2017 0:22:22,00-joShEWWrzsfuY2TNUTpMDX,None,RUN,RUN_epson_v500_1,Rutgers Student,,RUN-000415.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-joShEWWrzsfuY2TNUTpMDX
RU-N:WL:OdoD: 2017 00209,RU-N:WL:OdoD: 2017 00209,RUN-000416,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,F,right,375.965,472.819,45.191,42.609,46.122,45.043,10.52,13.229,11.028,14.88,0.600734282,0.292293233,0.045708047,-0.059991438,0.573896353,0.617354196,119.4348809,111.3689718,47.244,,,,TRUE,FALSE,FALSE,FALSE,9/22/2017 0:22:11,00-xNeAuJAGikztDpoSb5ek8a,None,RUN,RUN_epson_v500_1,Rutgers Student,,RUN-000416.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-xNeAuJAGikztDpoSb5ek8a
39653,39653,UA-000204,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,F,right,375.494,483.942,42.905,42.609,43.942,44.069,10.837,13.716,11.451,15.177,0.593930636,0.341018252,0.026880286,-0.076300973,0.585951941,0.610878661,118.0737448,111.9049396,47.244,Canada,Quebec,,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:38:07,00-DHWfBy2LSQB3Yeaf358yR5,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000204.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-DHWfBy2LSQB3Yeaf358yR5
40841,40841,UA-000203,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,F,right,370.936,491.137,43.455,43.18,43.455,44.895,10.88,13.801,11.663,15.325,0.558207501,0.300330033,0.039893932,-0.062018508,0.595281307,0.636740332,119.9030256,109.8634114,47.244,Canada,Manitoba,,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:37:15,00-FpiT2ZTHBzgBPwfzu9KrpF,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000203.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-FpiT2ZTHBzgBPwfzu9KrpF
28088,28088,UA-001090,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,M,right,356.49,458.571,41.868,41,42.355,41.783,10.689,13.399,11.324,14.478,0.573713143,0.306990882,0.038207831,-0.113872464,0.570093458,0.609649123,119.5619115,112.4170985,47.244,United States,Maine,Penobscot,TRUE,FALSE,FALSE,FALSE,12/15/2017 23:21:32,00-ywvKGFyceLXHVtvW6gfuF3,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-001090.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-ywvKGFyceLXHVtvW6gfuF3
28077,28077,UA-000932,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,M,right,386.281,522.877,45.826,44.916,46.186,45.678,10.795,14.499,11.345,15.621,0.565536205,0.284986098,0.043264653,-0.10737886,0.570895522,0.638211382,117.8832856,109.0234864,47.244,United States,Michigan,Montmorency,TRUE,FALSE,FALSE,FALSE,12/12/2017 22:58:59,00-Sd7rNACkwZPJVcxgN3sBnE,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000932.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-Sd7rNACkwZPJVcxgN3sBnE
26310,26310,UA-000201,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,M,right,325.628,428.64,41.296,39.963,41.487,40.979,10.118,12.869,10.689,13.991,0.571428571,0.275826446,0.062811269,-0.097000309,0.554455446,0.629349471,120.7352412,114.2035669,47.244,Canada,New Brunswick,,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:37:14,00-6b8SQ8oe7mtZjb7gcMxmpD,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000201.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-6b8SQ8oe7mtZjb7gcMxmpD
