Collection Unique ID,Suborder,Family,Species name,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (°),Tip angle HW (°),Scale calib factor (px/mm),North_America
36572,Anisoptera,Aeshnidae,Aeshna canadensis,373.376,491.105,42.63,42.355,42.884,43.032,11.028,14.012,11.642,15.431,0.556762093,0.289719626,0.0124167,-0.12177229,0.592727273,0.640603567,117.457148,109.2737555,47.244,TRUE
40718,Anisoptera,Aeshnidae,Aeshna canadensis,427.353,545.907,46.524,46.355,46.927,47.075,11.451,14.859,12.404,15.812,0.51105097,0.271582734,0.008964258,-0.105335445,0.581911263,0.631860776,113.8871912,105.2618486,47.244,TRUE
39652,Anisoptera,Aeshnidae,Aeshna canadensis,356.478,493.993,43.18,43.201,43.265,44.133,10.88,14.245,11.43,15.494,0.615949119,0.305995204,0.066307585,-0.077950452,0.6,0.658469945,120.9625361,109.6938897,47.244,TRUE
RU-N:WL:OdoD: 2017 00208,Anisoptera,Aeshnidae,Aeshna canadensis,360.092,471.772,44.81,42.99,45.593,44.556,10.16,13.483,10.816,15.177,0.622098422,0.302612827,0.055617995,-0.054726313,0.56555773,0.59972106,119.7030302,112.4284164,47.244,TRUE
RU-N:WL:OdoD: 2017 00209,Anisoptera,Aeshnidae,Aeshna canadensis,375.965,472.819,45.191,42.609,46.122,45.043,10.52,13.229,11.028,14.88,0.600734282,0.292293233,0.045708047,-0.059991438,0.573896353,0.617354196,119.4348809,111.3689718,47.244,TRUE
39653,Anisoptera,Aeshnidae,Aeshna canadensis,375.494,483.942,42.905,42.609,43.942,44.069,10.837,13.716,11.451,15.177,0.593930636,0.341018252,0.026880286,-0.076300973,0.585951941,0.610878661,118.0737448,111.9049396,47.244,TRUE
40841,Anisoptera,Aeshnidae,Aeshna canadensis,370.936,491.137,43.455,43.18,43.455,44.895,10.88,13.801,11.663,15.325,0.558207501,0.300330033,0.039893932,-0.062018508,0.595281307,0.636740332,119.9030256,109.8634114,47.244,TRUE
28088,Anisoptera,Aeshnidae,Aeshna canadensis,356.49,458.571,41.868,41,42.355,41.783,10.689,13.399,11.324,14.478,0.573713143,0.306990882,0.038207831,-0.113872464,0.570093458,0.609649123,119.5619115,112.4170985,47.244,TRUE
28077,Anisoptera,Aeshnidae,Aeshna canadensis,386.281,522.877,45.826,44.916,46.186,45.678,10.795,14.499,11.345,15.621,0.565536205,0.284986098,0.043264653,-0.10737886,0.570895522,0.638211382,117.8832856,109.0234864,47.244,TRUE
26310,Anisoptera,Aeshnidae,Aeshna canadensis,325.628,428.64,41.296,39.963,41.487,40.979,10.118,12.869,10.689,13.991,0.571428571,0.275826446,0.062811269,-0.097000309,0.554455446,0.629349471,120.7352412,114.2035669,47.244,TRUE
28082,Anisoptera,Aeshnidae,Aeshna canadensis,349.821,463.877,43.138,42.122,43.371,43.244,10.181,13.208,10.901,14.224,0.569058077,0.279490945,0.037240254,-0.108867416,0.565048544,0.62202381,118.0079314,110.5561192,47.244,TRUE
25887,Anisoptera,Aeshnidae,Aeshna canadensis,370.78,466.724,43.265,42.778,44.027,43.625,10.689,13.504,11.367,14.669,0.595673077,0.262493935,0.028090224,-0.098032697,0.594040968,0.649350649,119.2648602,109.2252632,47.244,TRUE
25802,Anisoptera,Aeshnidae,Aeshna canadensis,383.396,493.554,43.095,43.625,43.752,43.9,11.367,13.843,12.086,15.092,0.584421867,0.242526519,0.045128002,-0.128448521,0.628721541,0.640953717,117.33375,108.9665804,47.244,TRUE
34291,Anisoptera,Aeshnidae,Aeshna canadensis,350.563,448.402,41.635,41.402,41.931,41.762,10.541,13.377,11.282,14.372,0.56133266,0.278256462,0.01988828,-0.138163675,0.602251407,0.655375552,113.9157455,106.7225273,47.244,TRUE
