Suborder,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW
Anisoptera,373.376,491.105,42.63,42.355,42.884,43.032,11.028,14.012,11.642,15.431,0.556762093,0.289719626,0.0124167,-0.12177229
Anisoptera,427.353,545.907,46.524,46.355,46.927,47.075,11.451,14.859,12.404,15.812,0.51105097,0.271582734,0.008964258,-0.105335445
Anisoptera,356.478,493.993,43.18,43.201,43.265,44.133,10.88,14.245,11.43,15.494,0.615949119,0.305995204,0.066307585,-0.077950452
Anisoptera,360.092,471.772,44.81,42.99,45.593,44.556,10.16,13.483,10.816,15.177,0.622098422,0.302612827,0.055617995,-0.054726313
Anisoptera,375.965,472.819,45.191,42.609,46.122,45.043,10.52,13.229,11.028,14.88,0.600734282,0.292293233,0.045708047,-0.059991438
Anisoptera,375.494,483.942,42.905,42.609,43.942,44.069,10.837,13.716,11.451,15.177,0.593930636,0.341018252,0.026880286,-0.076300973
Anisoptera,370.936,491.137,43.455,43.18,43.455,44.895,10.88,13.801,11.663,15.325,0.558207501,0.300330033,0.039893932,-0.062018508
Anisoptera,356.49,458.571,41.868,41.0,42.355,41.783,10.689,13.399,11.324,14.478,0.573713143,0.306990882,0.038207831,-0.113872464
Anisoptera,386.281,522.877,45.826,44.916,46.186,45.678,10.795,14.499,11.345,15.621,0.565536205,0.284986098,0.043264653,-0.10737886
Anisoptera,325.628,428.64,41.296,39.963,41.487,40.979,10.118,12.869,10.689,13.991,0.571428571,0.275826446,0.062811269,-0.097000309
Anisoptera,349.821,463.877,43.138,42.122,43.371,43.244,10.181,13.208,10.901,14.224,0.569058077,0.279490945,0.037240254,-0.108867416
Anisoptera,370.78,466.724,43.265,42.778,44.027,43.625,10.689,13.504,11.367,14.669,0.595673077,0.262493935,0.028090224,-0.098032697
Anisoptera,383.396,493.554,43.095,43.625,43.752,43.9,11.367,13.843,12.086,15.092,0.584421867,0.242526519,0.045128002,-0.128448521
Anisoptera,350.563,448.402,41.635,41.402,41.931,41.762,10.541,13.377,11.282,14.372,0.56133266,0.278256462,0.01988828,-0.138163675
Anisoptera,360.083,463.915,43.095,42.058,43.201,42.757,10.435,13.589,11.134,14.563,0.594316512,0.253465347,0.017833291,-0.116205923
Anisoptera,324.022,420.124,41.635,40.09,41.741,40.534,9.821,12.637,10.351,13.674,0.581643002,0.274673629,0.033295382,-0.139354178
Anisoptera,354.738,456.87,42.905,43.011,43.328,43.519,10.287,13.145,11.049,14.161,0.549096238,0.277237354,0.022868778,-0.100507798
Anisoptera,320.847,425.284,40.365,40.873,40.64,41.72,10.097,12.954,10.689,13.631,0.584375,0.215626586,0.036146594,-0.095920562
Anisoptera,359.555,465.612,42.651,41.571,42.778,42.884,10.541,13.737,11.24,14.753,0.56952004,0.243830207,0.018493983,-0.113372643
Anisoptera,316.149,408.258,39.709,39.18,40.365,39.815,9.991,12.531,10.647,13.483,0.560041951,0.257841574,0.028360517,-0.127677546
Anisoptera,360.757,456.654,41.55,41.466,42.651,42.672,10.626,13.441,11.388,14.224,0.575682382,0.317956349,0.027432234,-0.080334689
Anisoptera,344.42,444.708,42.249,41.444,42.333,42.079,10.224,13.102,10.922,14.055,0.6045,0.27917505,0.020628319,-0.121017242
Anisoptera,389.89,481.792,43.963,40.407,44.027,41.212,11.303,14.774,12.107,15.558,0.581730769,0.268618387,0.017320575,-0.145575048
Anisoptera,352.392,469.641,40.471,41.127,40.746,41.423,10.943,14.118,11.642,15.177,0.561558442,0.269800715,-0.007669698,-0.148836124
Anisoptera,400.374,474.634,44.323,41.677,44.598,42.037,11.536,14.076,12.298,15.282,0.588039867,0.206445116,0.018584363,-0.14961188
Anisoptera,374.605,495.236,42.651,42.99,43.265,44.196,10.901,14.266,11.875,15.706,0.563600783,0.237547893,0.017513825,-0.128126658
Anisoptera,391.21,494.874,43.18,41.36,44.302,43.032,11.367,14.351,12.298,15.917,0.605351171,0.240531235,0.032127349,-0.117583347
Anisoptera,390.933,421.696,46.376,42.968,46.461,45.17,10.626,12.15,11.43,13.695,0.590888383,0.535145267,0.020594302,0.002334606
Anisoptera,359.374,467.977,43.265,42.101,43.265,42.63,10.774,13.695,11.472,15.325,0.602250489,0.294935452,0.036201826,-0.110285038
Anisoptera,396.246,512.443,45.0,44.873,46.419,45.699,10.837,13.801,11.557,15.177,0.633834929,0.329319129,0.033370091,-0.107959427
Anisoptera,402.091,513.823,46.567,45.762,47.498,46.44,10.478,13.631,11.367,14.838,0.543226382,0.219690064,0.022468082,-0.140261782
Anisoptera,416.795,514.537,46.694,44.556,47.159,45.752,11.229,13.981,12.033,15.293,0.546454219,0.273189914,0.016259703,-0.123848721
Anisoptera,427.805,549.063,47.583,46.006,47.837,46.958,10.986,14.499,11.853,15.843,0.574778761,0.233716475,0.012515216,-0.133305767
Anisoptera,416.948,520.299,47.17,45.974,47.826,47.403,10.922,13.801,11.769,16.129,0.613852622,0.201830766,0.018899165,-0.117565974
Anisoptera,390.752,503.71,46.069,44.545,46.493,45.942,10.573,13.885,11.578,16.224,0.567721375,0.24994241,0.01345747,-0.13247667
Anisoptera,434.468,571.183,45.932,44.471,47.117,45.403,11.959,15.706,12.827,17.082,0.597484277,0.267599068,0.036809985,-0.15396857
Anisoptera,401.675,530.588,43.857,43.646,44.027,44.746,11.557,14.753,12.319,16.362,0.564903846,0.274834437,0.011196341,-0.124379127
Anisoptera,404.49,539.51,44.238,44.344,45.551,45.36,11.24,14.796,11.959,16.235,0.521375465,0.231451237,0.011059699,-0.153239399
Anisoptera,438.767,587.829,46.863,45.911,47.456,46.778,11.896,15.812,12.552,17.463,0.574933096,0.280542986,0.02063098,-0.144820494
Anisoptera,396.999,537.448,43.286,44.048,44.619,45.085,11.599,14.817,12.488,16.658,0.558823529,0.301408451,0.024498849,-0.132337695
Anisoptera,428.478,559.421,45.593,44.302,46.905,46.207,11.769,15.261,12.594,16.616,0.56498195,0.284470912,0.039813227,-0.104817343
Anisoptera,405.545,556.999,42.863,44.916,43.328,45.508,11.811,15.007,12.7,16.298,0.575476307,0.222325581,0.001122073,-0.129266244
Anisoptera,372.973,470.2,44.45,43.434,44.725,44.831,10.414,13.462,11.388,14.774,0.542356839,0.232294618,-0.003430152,-0.11275937
Anisoptera,420.167,534.741,46.927,46.8,47.159,47.181,11.155,14.245,12.192,15.6,0.526032316,0.173171826,-0.004354684,-0.143682299
Anisoptera,373.489,475.732,43.519,43.392,44.133,44.323,10.626,13.483,11.409,14.626,0.568345324,0.271728749,0.003085862,-0.106451419
Anisoptera,418.022,543.906,46.821,45.403,47.286,46.228,11.261,14.499,12.065,15.685,0.566248881,0.261904762,0.01950809,-0.148050171
Anisoptera,337.794,435.155,41.593,39.92,41.698,40.619,10.435,13.081,11.24,14.965,0.583756345,0.342365816,0.046247519,-0.10601823
Anisoptera,280.28,355.639,37.931,36.534,37.994,36.872,9.44,11.748,9.97,13.208,0.61448468,0.396096441,0.025102665,-0.116099477
Anisoptera,315.047,421.081,40.069,39.074,40.407,39.878,10.202,12.7,10.732,14.012,0.623886852,0.337579618,0.055908755,-0.106737883
Anisoptera,324.077,429.06,41.825,40.174,42.376,40.979,10.16,12.615,10.732,13.97,0.598901099,0.305785124,0.064521252,-0.117698875
Anisoptera,317.952,403.774,39.815,38.947,40.746,40.217,10.181,12.467,10.859,13.78,0.59948052,0.252631579,0.044883137,-0.086301184
Anisoptera,349.81,459.244,42.82,41.032,43.773,43.18,10.372,13.145,10.933,15.229,0.592359768,0.472058824,0.041897354,-0.069475787
Anisoptera,323.882,420.457,41.159,38.597,41.91,41.053,10.001,12.954,10.647,15.092,0.60959596,0.33384893,0.026165471,-0.076614133
Anisoptera,311.517,418.193,40.619,38.746,41.148,39.952,9.705,13.06,10.319,14.552,0.585390947,0.335099338,0.041300717,-0.093702436
